0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:24 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:41 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:42 +0800] "GET /MainTicketSystem/js/jquery-1.9.0.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:42 +0800] "GET /MainTicketSystem/js/jquery.SuperSlide.2.1.1.js HTTP/1.1" 200 11422
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:42 +0800] "GET /MainTicketSystem/js/city-data.js HTTP/1.1" 200 48340
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:42 +0800] "GET /MainTicketSystem/js/laydate.js HTTP/1.1" 200 27378
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:42 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 10101
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:42 +0800] "GET /MainTicketSystem/css/mainticket.css HTTP/1.1" 200 3600
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:42 +0800] "GET /MainTicketSystem/css/hzw-city-picker.css HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:42 +0800] "GET /MainTicketSystem/js/hzw-city-picker.min.js HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:42 +0800] "GET /MainTicketSystem/js/theme/default/laydate.css?v=5.0.9 HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:43 +0800] "GET /MainTicketSystem/js/theme/default/font/iconfont.woff HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:03:51 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:04:47 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:04:47 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 10142
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:04:54 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:11:25 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:11:25 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 10649
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:14:25 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:17:46 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:17:46 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 11127
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:17:55 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:18:36 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:18:36 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 11131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:18:43 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:19:20 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:19:20 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 11128
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:19:27 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:19:58 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:19:58 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 11129
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:20:09 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:20:38 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:20:38 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 11125
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:20:46 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:22:52 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:22:52 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:22:59 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:26:58 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4311
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:26:58 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 200 3350
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:26:58 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:27:49 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:27:49 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:27:50 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:28:00 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:28:06 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:29:30 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4371
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:29:31 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:29:31 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:31:30 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4503
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:31:30 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:31:31 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:31:32 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:31:54 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:31:54 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:32:19 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4503
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:32:19 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:33:03 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:33:03 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:33:03 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:35:19 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4569
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:35:19 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:35:19 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:35:21 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:35:22 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:35:59 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4563
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:35:59 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:36:01 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:36:09 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4564
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:36:12 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:36:54 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:36:54 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:36:54 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:37:05 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:37:13 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:37:36 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4554
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:37:43 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:37:43 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:37:47 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:38:09 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:39:32 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4629
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:39:32 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:39:32 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:39:43 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:40:05 +0800] "POST /MainTicketSystem/FlightServlet HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:40:09 +0800] "POST /MainTicketSystem/IdcardServlet HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:11 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4666
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:12 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:12 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:26 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4666
